"provider","doi","citeulike","connotea","scopus","ploscounter","pmc","facebook","mendeley","twitter","date_modified"
NA,NA,999,999,999,999,999,999,999,999,"1970-01-01"
"plosalm","10.1371/journal.pone.0037344",0,0,0,2141,825,0,NA,0,2013-05-17
"altmetric","10.1371/journal.pone.0037344",0,0,NA,NA,NA,NA,0,1,2012-05-16
"impactstory","10.1371/journal.pone.0037344",NA,NA,NA,2127,825,NA,NA,NA,2013-05-17
"plosalm","10.1371/journal.pone.0037343",2,0,0,932,52,2,3,0,2013-05-17
"altmetric","10.1371/journal.pone.0037343",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0037343",NA,NA,NA,921,52,NA,4,NA,2013-05-17
"plosalm","10.1371/journal.pone.0037342",0,0,2,2448,864,1,12,3,2013-05-17
"altmetric","10.1371/journal.pone.0037342",0,0,NA,NA,NA,1,5,4,2012-05-25
"impactstory","10.1371/journal.pone.0037342",NA,NA,2,2437,864,NA,12,2,2013-05-17
"plosalm","10.1371/journal.pone.0037341",0,0,1,1261,145,1,6,0,2013-05-17
"altmetric","10.1371/journal.pone.0037341",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0037341",NA,NA,1,1246,145,NA,6,NA,2013-05-17
"plosalm","10.1371/journal.pone.0037340",0,0,0,835,210,0,5,0,2013-05-17
"altmetric","10.1371/journal.pone.0037340",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0037340",NA,NA,NA,826,210,NA,5,NA,2013-05-17
"plosalm","10.1371/journal.pone.0037339",0,0,1,1240,406,0,NA,2,2013-05-17
"altmetric","10.1371/journal.pone.0037339",0,0,NA,NA,NA,NA,0,2,2012-05-23
"impactstory","10.1371/journal.pone.0037339",NA,NA,1,1225,406,NA,1,1,2013-05-17
"plosalm","10.1371/journal.pone.0037338",0,0,0,1682,544,0,12,2,2013-05-17
"altmetric","10.1371/journal.pone.0037338",0,0,NA,NA,NA,NA,8,2,2012-05-24
"impactstory","10.1371/journal.pone.0037338",NA,NA,NA,1669,544,NA,12,2,2013-05-17
"plosalm","10.1371/journal.pone.0037337",0,0,1,1062,273,0,4,0,2013-05-17
"altmetric","10.1371/journal.pone.0037337",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0037337",NA,NA,1,1053,273,NA,4,NA,2013-05-17
"plosalm","10.1371/journal.pcbi.1002545",0,0,0,1943,137,0,17,10,2013-05-17
"altmetric","10.1371/journal.pcbi.1002545",0,0,NA,NA,NA,NA,11,8,2012-07-10
"impactstory","10.1371/journal.pcbi.1002545",NA,NA,NA,1926,137,NA,19,1,2013-05-17
"plosalm","10.1371/journal.pone.0050704",0,0,0,393,292,0,NA,3,2013-05-17
"altmetric","10.1371/journal.pone.0050704",0,0,NA,NA,NA,NA,0,3,2013-01-16
"impactstory","10.1371/journal.pone.0050704",NA,NA,NA,386,292,NA,NA,3,2013-05-17
"plosalm","10.1371/journal.pone.0050703",0,0,0,597,82,0,NA,1,2013-05-17
"altmetric","10.1371/journal.pone.0050703",0,0,NA,NA,NA,1,0,2,2012-12-05
"impactstory","10.1371/journal.pone.0050703",NA,NA,NA,587,82,NA,NA,1,2013-05-17
"plosalm","10.1371/journal.pone.0042642",0,0,1,720,240,0,NA,0,2013-05-17
"altmetric","10.1371/journal.pone.0042642",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0042642",NA,NA,1,713,240,NA,NA,NA,2013-05-17
"plosalm","10.1371/journal.pcbi.1002543",16,0,0,6023,239,2,69,33,2013-05-17
"altmetric","10.1371/journal.pcbi.1002543",8,0,NA,NA,NA,NA,68,31,2012-10-28
"impactstory","10.1371/journal.pcbi.1002543",NA,NA,NA,5964,239,NA,70,27,2013-05-17
"plosalm","10.1371/journal.pone.0042641",0,0,0,561,168,0,NA,0,2013-05-17
"altmetric","10.1371/journal.pone.0042641",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0042641",NA,NA,NA,549,168,NA,1,NA,2013-05-17
"plosalm","10.1371/journal.pone.0050700",0,0,0,697,31,0,NA,1,2013-05-17
"altmetric","10.1371/journal.pone.0050700",0,0,NA,NA,NA,1,0,1,2012-12-14
"impactstory","10.1371/journal.pone.0050700",NA,NA,NA,688,31,NA,NA,NA,2013-05-17
"plosalm","10.1371/journal.pone.0042640",0,0,2,987,261,0,NA,1,2013-05-17
"altmetric","10.1371/journal.pone.0042640",0,0,NA,NA,NA,NA,0,1,2012-08-22
"impactstory","10.1371/journal.pone.0042640",NA,NA,2,962,261,NA,1,1,2013-05-17
"plosalm","10.1371/journal.pcbi.1002583",5,0,0,2789,130,1,34,12,2013-05-17
"altmetric","10.1371/journal.pcbi.1002583",0,0,NA,NA,NA,NA,31,12,2012-08-02
"impactstory","10.1371/journal.pcbi.1002583",NA,NA,NA,2763,130,NA,35,11,2013-05-17
"plosalm","10.1371/journal.pone.0047979",0,0,0,1063,395,4,NA,1,2013-05-17
"altmetric","10.1371/journal.pone.0047979",0,0,NA,NA,NA,1,0,2,2013-04-06
"impactstory","10.1371/journal.pone.0047979",NA,NA,NA,1045,395,NA,NA,1,2013-05-17
"plosalm","10.1371/journal.pcbi.1002582",2,0,2,3710,601,4,33,10,2013-05-17
"altmetric","10.1371/journal.pcbi.1002582",2,0,NA,NA,NA,1,28,9,2012-08-31
"impactstory","10.1371/journal.pcbi.1002582",NA,NA,2,3691,601,NA,33,4,2013-05-17
"plosalm","10.1371/journal.pone.0050739",0,0,0,512,297,0,NA,0,2013-05-17
"altmetric","10.1371/journal.pone.0050739",0,0,NA,NA,NA,NA,0,1,2013-01-28
"impactstory","10.1371/journal.pone.0050739",NA,NA,NA,502,297,NA,NA,NA,2013-05-17
"plosalm","10.1371/journal.pone.0042684",0,0,0,603,267,0,NA,0,2013-05-17
"altmetric","10.1371/journal.pone.0042684",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0042684",NA,NA,NA,597,267,NA,NA,NA,2013-05-17
"plosalm","10.1371/journal.pone.0047977",0,0,0,832,493,0,NA,0,2013-05-17
"altmetric","10.1371/journal.pone.0047977",0,0,NA,NA,NA,NA,0,1,2012-11-02
"impactstory","10.1371/journal.pone.0047977",NA,NA,NA,815,493,NA,NA,NA,2013-05-17
"plosalm","10.1371/journal.pone.0050737",0,0,0,459,78,0,NA,0,2013-05-17
"altmetric","10.1371/journal.pone.0050737",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0050737",NA,NA,NA,447,78,NA,NA,NA,2013-05-17
"plosalm","10.1371/journal.pcbi.1002579",3,0,2,3618,357,5,43,4,2013-05-17
"altmetric","10.1371/journal.pcbi.1002579",0,0,NA,NA,NA,NA,35,3,2012-11-18
"impactstory","10.1371/journal.pcbi.1002579",NA,NA,2,3583,357,NA,44,3,2013-05-17
"plosalm","10.1371/journal.pone.0042682",0,0,0,877,166,0,NA,3,2013-05-17
"altmetric","10.1371/journal.pone.0042682",0,0,NA,NA,NA,NA,0,4,2012-10-10
"impactstory","10.1371/journal.pone.0042682",NA,NA,NA,867,166,NA,NA,3,2013-05-17
"plosalm","10.1371/journal.pone.0047975",0,0,0,627,60,0,NA,0,2013-05-17
"altmetric","10.1371/journal.pone.0047975",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0047975",NA,NA,NA,610,60,NA,NA,NA,2013-05-17
"plosalm","10.1371/journal.pone.0042681",0,0,0,871,170,2,NA,0,2013-05-17
"altmetric","10.1371/journal.pone.0042681",0,0,NA,NA,NA,1,0,NA,2012-09-07
"impactstory","10.1371/journal.pone.0042681",NA,NA,NA,868,170,NA,NA,NA,2013-05-17
"plosalm","10.1371/journal.pcbi.1002540",1,0,1,2676,130,7,15,2,2013-05-17
"altmetric","10.1371/journal.pcbi.1002540",1,0,NA,NA,NA,NA,11,2,2012-06-02
"impactstory","10.1371/journal.pcbi.1002540",NA,NA,1,2662,130,NA,15,1,2013-05-17
"plosalm","10.1371/journal.pcbi.1002538",3,0,2,3141,463,7,12,15,2013-05-17
"altmetric","10.1371/journal.pcbi.1002538",2,0,NA,NA,NA,1,11,14,2012-10-26
"impactstory","10.1371/journal.pcbi.1002538",NA,NA,2,3113,463,NA,12,3,2013-05-17
"plosalm","10.1371/journal.pone.0042639",1,0,0,1617,230,0,16,11,2013-05-17
"altmetric","10.1371/journal.pone.0042639",0,0,NA,NA,NA,NA,0,11,2012-08-07
"impactstory","10.1371/journal.pone.0042639",NA,NA,NA,1592,230,NA,16,8,2013-05-17
"plosalm","10.1371/journal.pone.0050697",0,0,0,228,41,0,NA,0,2013-05-17
"altmetric","10.1371/journal.pone.0050697",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0050697",NA,NA,NA,224,41,NA,NA,NA,2013-05-17
"plosalm","10.1371/journal.pone.0042638",0,0,1,1306,188,1,3,2,2013-05-17
"altmetric","10.1371/journal.pone.0042638",0,0,NA,NA,NA,NA,1,2,2012-08-07
"impactstory","10.1371/journal.pone.0042638",NA,NA,1,1294,188,NA,3,1,2013-05-17
"plosalm","10.1371/journal.pone.0042637",0,0,1,1191,383,0,30,0,2013-05-17
"altmetric","10.1371/journal.pone.0042637",0,0,NA,NA,NA,NA,27,1,2012-08-11
"impactstory","10.1371/journal.pone.0042637",NA,NA,1,1179,383,NA,31,NA,2013-05-17
"plosalm","10.1371/journal.pcbi.1002536",4,0,2,2230,121,0,23,3,2013-05-17
"altmetric","10.1371/journal.pcbi.1002536",3,0,NA,NA,NA,NA,19,2,2012-07-31
"impactstory","10.1371/journal.pcbi.1002536",NA,NA,2,2210,121,NA,25,2,2013-05-17
"plosalm","10.1371/journal.pone.0050694",0,0,0,396,121,0,NA,1,2013-05-17
"altmetric","10.1371/journal.pone.0050694",0,0,NA,NA,NA,NA,0,1,2012-11-30
"impactstory","10.1371/journal.pone.0050694",NA,NA,NA,386,121,NA,NA,NA,2013-05-17
"plosalm","10.1371/journal.pone.0042636",0,0,0,762,217,0,NA,2,2013-05-17
"altmetric","10.1371/journal.pone.0042636",0,0,NA,NA,NA,NA,0,2,2012-08-13
"impactstory","10.1371/journal.pone.0042636",NA,NA,NA,750,217,NA,NA,1,2013-05-17
"plosalm","10.1371/journal.pcbi.1002534",1,0,0,3569,201,6,11,4,2013-05-17
"altmetric","10.1371/journal.pcbi.1002534",1,0,NA,NA,NA,1,10,4,2013-02-18
"impactstory","10.1371/journal.pcbi.1002534",NA,NA,NA,3550,201,NA,12,1,2013-05-17
"plosalm","10.1371/journal.pcbi.1002533",18,0,3,7730,222,7,63,43,2013-05-17
"altmetric","10.1371/journal.pcbi.1002533",18,0,NA,NA,NA,1,33,30,2012-08-27
"impactstory","10.1371/journal.pcbi.1002533",NA,NA,1,7539,217,NA,63,13,2013-04-14
"plosalm","10.1371/journal.pone.0042635",0,0,0,686,194,0,NA,2,2013-05-17
"altmetric","10.1371/journal.pone.0042635",0,0,NA,NA,NA,1,0,2,2012-08-07
"impactstory","10.1371/journal.pone.0042635",NA,NA,NA,675,194,NA,NA,1,2013-05-17
"plosalm","10.1371/journal.pone.0042634",0,0,0,703,183,0,NA,1,2013-05-17
"altmetric","10.1371/journal.pone.0042634",0,0,NA,NA,NA,NA,0,1,2012-08-03
"impactstory","10.1371/journal.pone.0042634",NA,NA,NA,690,183,NA,NA,NA,2013-05-17
"plosalm","10.1371/journal.pcbi.1002531",7,0,9,3135,653,0,34,1,2013-05-17
"altmetric","10.1371/journal.pcbi.1002531",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pcbi.1002531",NA,NA,9,3104,653,NA,34,1,2013-05-17
"plosalm","10.1371/journal.pone.0050691",0,0,0,614,61,1,NA,6,2013-05-17
"altmetric","10.1371/journal.pone.0050691",0,0,NA,NA,NA,1,0,6,2013-05-15
"impactstory","10.1371/journal.pone.0050691",NA,NA,NA,601,61,NA,NA,6,2013-05-17
"plosalm","10.1371/journal.pone.0042633",1,0,0,963,308,0,10,0,2013-05-17
"altmetric","10.1371/journal.pone.0042633",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0042633",NA,NA,NA,949,308,NA,11,NA,2013-05-17
"plosalm","10.1371/journal.pone.0042632",0,0,1,771,309,0,NA,2,2013-05-17
"altmetric","10.1371/journal.pone.0042632",0,0,NA,NA,NA,NA,0,2,2012-08-28
"impactstory","10.1371/journal.pone.0042632",NA,NA,1,763,309,NA,NA,NA,2013-05-17
"plosalm","10.1371/journal.pone.0050707",1,0,0,9129,178,29,4,54,2013-05-17
"altmetric","10.1371/journal.pone.0050707",1,0,NA,NA,NA,1,1,58,2013-04-12
"impactstory","10.1371/journal.pone.0050707",NA,NA,NA,9115,178,NA,5,29,2013-05-17
"plosalm","10.1371/journal.pone.0050706",0,0,0,421,92,1,NA,0,2013-05-17
"altmetric","10.1371/journal.pone.0050706",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0050706",NA,NA,NA,409,92,NA,NA,NA,2013-05-17
"plosalm","10.1371/journal.pone.0042645",1,0,0,805,313,0,NA,0,2013-05-17
"altmetric","10.1371/journal.pone.0042645",0,0,NA,NA,NA,NA,0,1,2012-08-11
"impactstory","10.1371/journal.pone.0042645",NA,NA,NA,791,313,NA,NA,NA,2013-05-17
"plosalm","10.1371/journal.pone.0042644",0,0,0,497,149,0,NA,0,2013-05-17
"altmetric","10.1371/journal.pone.0042644",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0042644",NA,NA,NA,486,149,NA,NA,NA,2013-05-17
"plosalm","10.1371/journal.pone.0050702",0,0,0,2604,160,0,NA,3,2013-05-17
"altmetric","10.1371/journal.pone.0050702",0,0,NA,NA,NA,NA,0,2,2013-01-27
"impactstory","10.1371/journal.pone.0050702",NA,NA,NA,2595,160,NA,NA,2,2013-05-17
"plosalm","10.1371/journal.pone.0050701",0,0,0,954,476,0,NA,0,2013-05-17
"altmetric","10.1371/journal.pone.0050701",0,0,NA,NA,NA,NA,0,1,2013-02-16
"impactstory","10.1371/journal.pone.0050701",NA,NA,NA,937,476,NA,NA,NA,2013-05-17
"plosalm","10.1371/journal.pcbi.1002542",10,0,0,3229,87,0,37,8,2013-05-17
"altmetric","10.1371/journal.pcbi.1002542",9,0,NA,NA,NA,NA,26,8,2012-06-24
"impactstory","10.1371/journal.pcbi.1002542",NA,NA,NA,3204,87,NA,37,6,2013-05-17
"plosalm","10.1371/journal.pcbi.1002541",13,0,1,3562,269,2,52,13,2013-05-17
"altmetric","10.1371/journal.pcbi.1002541",8,0,NA,NA,NA,NA,14,11,2013-01-25
"impactstory","10.1371/journal.pcbi.1002541",NA,NA,1,3537,269,NA,55,12,2013-05-17
"plosalm","10.1371/journal.pone.0050699",0,0,0,661,102,0,NA,0,2013-05-17
"altmetric","10.1371/journal.pone.0050699",0,0,NA,NA,NA,1,0,NA,2012-12-01
"impactstory","10.1371/journal.pone.0050699",NA,NA,NA,651,102,NA,NA,NA,2013-05-17
"plosalm","10.1371/journal.pone.0050698",1,0,0,68796,433,363,5,187,2013-05-17
"altmetric","10.1371/journal.pone.0050698",1,0,NA,NA,NA,1,0,189,2013-02-28
"impactstory","10.1371/journal.pone.0050698",NA,NA,NA,68766,433,NA,6,178,2013-05-17
"plosalm","10.1371/journal.pone.0050696",0,0,0,882,293,0,2,1,2013-05-17
"altmetric","10.1371/journal.pone.0050696",0,0,NA,NA,NA,NA,2,1,2013-05-15
"impactstory","10.1371/journal.pone.0050696",NA,NA,NA,870,293,NA,2,NA,2013-05-17
"plosalm","10.1371/journal.pcbi.1002535",3,0,0,3290,59,2,1,7,2013-05-17
"altmetric","10.1371/journal.pcbi.1002535",3,0,NA,NA,NA,NA,0,7,2012-06-18
"impactstory","10.1371/journal.pcbi.1002535",NA,NA,NA,3268,59,NA,1,4,2013-05-17
"plosalm","10.1371/journal.pone.0042643",0,0,0,1424,53,18,12,9,2013-05-17
"altmetric","10.1371/journal.pone.0042643",0,0,NA,NA,NA,1,12,9,2012-08-17
"impactstory","10.1371/journal.pone.0042643",NA,NA,NA,1414,53,NA,12,NA,2013-05-17
"plosalm","10.1371/journal.pcbi.1002539",1,0,0,2207,246,0,20,1,2013-05-17
"altmetric","10.1371/journal.pcbi.1002539",1,0,NA,NA,NA,NA,15,1,2012-06-09
"impactstory","10.1371/journal.pcbi.1002539",NA,NA,NA,2185,246,NA,21,1,2013-05-17
"plosalm","10.1371/journal.pcbi.1002537",1,0,0,1734,154,1,1,1,2013-05-17
"altmetric","10.1371/journal.pcbi.1002537",1,0,NA,NA,NA,NA,1,1,2012-06-09
"impactstory","10.1371/journal.pcbi.1002537",NA,NA,NA,1712,154,NA,1,NA,2013-05-17
"plosalm","10.1371/journal.pone.0050692",0,0,0,546,136,0,NA,0,2013-05-17
"altmetric","10.1371/journal.pone.0050692",0,0,NA,NA,NA,NA,0,1,2012-11-28
"impactstory","10.1371/journal.pone.0050692",NA,NA,NA,533,136,NA,NA,NA,2013-05-17
"plosalm","10.1371/journal.pone.0050776",0,0,0,330,58,0,NA,0,2013-05-17
"altmetric","10.1371/journal.pone.0050776",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0050776",NA,NA,NA,320,58,NA,NA,NA,2013-05-17
"plosalm","10.1371/journal.pcbi.1002619",0,0,1,2254,235,6,11,1,2013-05-17
"altmetric","10.1371/journal.pcbi.1002619",0,0,NA,NA,NA,1,5,1,2012-08-18
"impactstory","10.1371/journal.pcbi.1002619",NA,NA,1,2231,235,NA,12,2,2013-05-17
"plosalm","10.1371/journal.pbio.1001099",0,0,16,5556,1808,6,30,0,2013-05-17
"altmetric","10.1371/journal.pbio.1001099",0,0,NA,NA,NA,2,29,8,2012-11-21
"impactstory","10.1371/journal.pbio.1001099",NA,NA,16,5501,1808,NA,30,1,2013-05-17
"plosalm","10.1371/journal.pone.0042725",0,0,0,678,193,0,NA,1,2013-05-17
"altmetric","10.1371/journal.pone.0042725",0,0,NA,NA,NA,NA,0,1,2012-08-30
"impactstory","10.1371/journal.pone.0042725",NA,NA,NA,669,193,NA,NA,1,2013-05-17
"plosalm","10.1371/journal.pcbi.1002618",2,0,1,2165,273,0,17,2,2013-05-17
"altmetric","10.1371/journal.pcbi.1002618",2,0,NA,NA,NA,1,17,1,2012-12-25
"impactstory","10.1371/journal.pcbi.1002618",NA,NA,1,2150,273,NA,17,2,2013-05-17
"plosalm","10.1371/journal.pone.0050772",0,0,0,429,73,0,NA,0,2013-05-17
"altmetric","10.1371/journal.pone.0050772",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0050772",NA,NA,NA,421,73,NA,NA,NA,2013-05-17
"plosalm","10.1371/journal.pone.0042715",0,0,0,471,98,0,3,2,2013-05-17
"altmetric","10.1371/journal.pone.0042715",0,0,NA,NA,NA,NA,1,2,2012-08-24
"impactstory","10.1371/journal.pone.0042715",NA,NA,NA,465,98,NA,3,NA,2013-05-17
"plosalm","10.1371/journal.pone.0048009",0,0,0,1244,32,2,NA,0,2013-05-17
"altmetric","10.1371/journal.pone.0048009",0,0,NA,NA,NA,1,0,NA,2012-10-26
"impactstory","10.1371/journal.pone.0048009",NA,NA,NA,1227,32,NA,1,NA,2013-05-17
"plosalm","10.1371/journal.pcbi.1002606",8,0,10,8380,1733,0,116,9,2013-05-17
"altmetric","10.1371/journal.pcbi.1002606",1,0,NA,NA,NA,NA,109,10,2012-08-17
"impactstory","10.1371/journal.pcbi.1002606",NA,NA,8,7091,1247,NA,97,7,2013-03-11
"plosalm","10.1371/journal.pone.0047988",0,0,0,1123,299,0,1,0,2013-05-17
"altmetric","10.1371/journal.pone.0047988",0,0,NA,NA,NA,1,0,NA,2012-10-26
"impactstory","10.1371/journal.pone.0047988",NA,NA,NA,1104,299,NA,2,NA,2013-05-17
"plosalm","10.1371/journal.pone.0050749",0,0,0,984,240,0,NA,5,2013-05-17
"altmetric","10.1371/journal.pone.0050749",0,0,NA,NA,NA,NA,0,5,2012-12-04
"impactstory","10.1371/journal.pone.0050749",NA,NA,NA,971,240,NA,NA,3,2013-05-17
"plosalm","10.1371/journal.pone.0047995",0,0,0,3833,429,5,10,15,2013-05-17
"altmetric","10.1371/journal.pone.0047995",0,0,NA,NA,NA,NA,10,1,2012-11-11
"impactstory","10.1371/journal.pone.0047995",NA,NA,NA,2092,272,NA,4,20,2013-03-09
"plosalm","10.1371/journal.pone.0047973",0,0,0,692,165,0,NA,1,2013-05-17
"altmetric","10.1371/journal.pone.0047973",0,0,NA,NA,NA,NA,0,1,2012-10-23
"impactstory","10.1371/journal.pone.0047973",NA,NA,NA,552,81,NA,NA,NA,2013-03-15
"plosalm","10.1371/journal.pone.0042679",1,0,0,998,49,1,NA,0,2013-05-17
"altmetric","10.1371/journal.pone.0042679",0,0,NA,NA,NA,1,0,NA,2012-08-02
"impactstory","10.1371/journal.pone.0042679",NA,NA,NA,943,41,NA,NA,NA,2013-05-02
